id,name
8446166,Jim Corsi
8446152,Hap Emms
8446129,Pat Conacher
8446187,Bill Fairbairn
8446255,Bruce Crowder
8446143,Bo Elik
8446165,Bob Corkum
8446329,Mal Davis
8446167,Shayne Corson
8446263,Brian Curran
8446179,Ray Cote
8446103,Steve Clippingdale
8446154,Jerry Engele
8446163,Yvon Corriveau
8446312,Sandy Fitzpatrick
8446133,Zdeno Ciger
8446315,Michael Dark
8446305,Jeff Daniels
8446323,John Davidson
8446184,Bill Ezinicki
8446343,Lou Fontinato
8446306,Marc D'amour
8446266,Denis Cyr
8446155,Aut Erickson
8446364,Dale Degray
8446355,Dave Debol
8446182,Stewart Evans
8446134,Frederic Chabot
8446336,Rick Foley
8446365,Dave Delich
8446342,Val Fonteyne
8446340,Len Fontaine
8446353,Lucien DeBlois
8446361,Gary Degrio
8446356,Larry Depalma
8446358,Dean Defazio
8446363,Bill Derlago
8446357,Yves Dechene
8446371,Ron Delorme
8446368,Matt Delguidice
8446339,Bill Folk
8446996,Joseph Gage
8446378,Guy Delparte
8446376,Robert Dirk
8446372,Gilbert Delorme
8446993,Paul Gagne
8446997,Dave Gagner
8446367,Daniel Delianedis
8446999,Gordon Gallant
8446821,Ron Fischer
8446998,Bob Gainey
8446213,Mike Craig
8446081,Dean Chynoweth
8446082,Tim Cheveldae
8446105,Stephen Coates
8446126,Rene Chapdelaine
8446088,Dean Clark
8446796,David Fenyves
8446812,John Ferguson
8446797,Paul Fenton
8446801,Kenneth Federko
8446805,Tony Feltrin
8446814,Norm Ferguson
8446806,Daniel Fergus
8446807,Tom Fergus
8446300,Alvin Fisher
8446803,Bernie Federko
8446809,George Ferguson
8446274,Jim Cunningham
8446716,Smokey Harris
8446717,Ted Harris
8446720,Tony Esposito
8446722,Phil Esposito
8446223,Jeff Crawford
8446718,Kevin Evans
8446159,Tim Coulis
8446714,Ron Harris
8446723,Randy Exelby
8446248,Sid Finney
8446719,Bob Essensa
8446246,Lloyd Finkbeiner
8446238,Doug Crossman
8446250,Dan Currie
8446239,Jim Crosson
8446242,Keith Crowder
8446237,Mike Crombeen
8446243,Shawn Cronin
8446320,Kim Davis
8446321,Kelly Davis
8446199,Sylvain Couturier
8446197,Lorne Ferguson
8446178,Alain Cote
8446174,Paul Evans
8446177,Alain Cote
8446189,Bob Falkenberg
8446162,Ed Cooper
8446170,Jacques Cossette
8446334,Peter Folco
8446245,Tommy Filmore
8446195,Alex Faulkner
8446196,Tony Featherstone
8446142,Gerry Ehman
8446347,Connie Forey
8446191,Walt Farrant
8446200,Yvan Cournoyer
8446173,Jack Evans
8446144,Fred Elliott
8446171,Rich Costello
8446135,Pat Egan
8446147,Cam Connor
8446172,Grant Erickson
8446141,Jack Egers
8446180,Sylvain Cote
8446168,Ross Cory
8446194,Gordie Fashoway
8446148,Eddie Emberg
8446507,Luc Dufour
8446161,Wes Coulson
8446513,Bill Gadsby
8446330,William Davis
8446580,Gerry Geran
8446516,Iain Duncan
8446500,Ken Duggan
8446514,Art Gagne
8446519,Vitezslav Duris
8446576,Gary Geldart
8446301,Dunc Fisher
8446497,Gaetan Duchesne
8446501,Donald Dufresne
8446495,Norm Dube
8446498,Rick Dudley
8446489,Gord Fraser
8446504,Dale Dunbar
8446957,Curt Fraser
8446493,Frank Fredrickson
8446508,Craig Duncanson
8446987,Larry Huras
8446560,Darryl Edestrand
8446491,Harvey Fraser
8446552,Germain Gagnon
8446492,Charles Fraser
8446551,Mike Eagles
8446564,Herb Gardiner
8446976,Len Frig
8446626,Dave Ellett
8446118,Sean Coady
8446565,Cal Gardner
8446567,Scott Garland
8446553,Johnny Gagnon
8446566,Ray Gariepy
8446629,Leth Graham
8446331,Charles Pletsch
8446280,Donald Cutts
8446303,Vincent Damphousse
8446285,Alain Daigle
8446302,Joe Fisher
8446290,Joe Daley
8446288,Chris Dahlquist
8446559,John Gallagher
8446222,Marc Crawford
8446333,Lee Fogolin
8446226,Adam Creighton
8446335,Gerry Foley
8446294,Doug Dadswell
8446299,Marty Dallman
8446296,Rod Dallman
8446295,Ulf Dahlen
8446293,Pat Daley
8446289,Brad Dalgarno
8446279,Tony Currie
8446291,Bob Dailey
8446286,J.J. Daigneault
8446297,Ed Finnigan
8446287,Kjell Dahlin
8446228,Guyle Fielder
8446673,Milt Halliday
8446423,Kevin Dineen
8446413,Charles Fortier
8446668,Ron Ellis
8446671,Wayne Hall
8446670,Murray Hall
8446611,Billy Gooden
8446688,Jack Hamilton
8446409,Jack Forsey
8446618,Pelle Eklund
8446686,Red Hamill
8446684,John English
8446411,Gus Forslund
8446883,Jon Fontas
8446919,Claude Houde
8446909,Mike Forbes
8446913,Pete Horeck
8446888,Cec Hoekstra
8446939,Dwight Foster
8446917,Tim Horton
8446925,Vic Howe
8446926,Harry Howell
8446903,John Holota
8446927,Ron Howell
8446928,Dave Hrechkosy
8446933,Fran Huck
8446931,Rolly Huard
8446911,Ron Homenuke
8446921,Alex Forsyth
8446918,Bronco Horvath
8446929,Jim Hrycuik
8446937,Norman Foster
8446424,Gord Dineen
8446932,Dave Fortier
8446914,George Horne
8446936,Corey Foster
8446951,Ron Francis
8446943,Guy Fournier
8446415,Gilbert Dionne
8446485,Kris Draper
8446940,Nick Fotiu
8446417,Gerald Diduck
8446418,Peter Dineen
8446476,Doug Dragasevich
8446414,Ray Fortin
8446959,Brent Hughes
8446405,Don Dietrich
8446915,Red Horner
